Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Due date,Votes,Description,Environment,Watchers,Watchers Id,Log Work,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Blocks),Outward issue link (Relates),Attachment,Custom field (Actual end),Custom field (Actual start),Custom field (Affected services),Custom field (Change reason),Custom field (Change risk),Custom field (Change type),Custom field (Development),Custom field (Epic Link),Custom field (Impact),Custom field (Issue color),Custom field (Rank),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Satisfaction rating,Sprint,Custom field (Start date),Custom field (Story Points),Custom field (Story point estimate),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field ([CHART] Date of First Response),Status Category
Verify the message box with format field,EL-118,10208,Test,Done,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,Done,,,Dipti Anand,620b3373156f53006b2459d7,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,21/Feb/22 1:34 PM,21/Feb/22 1:47 PM,21/Feb/22 1:36 PM,21/Feb/22 1:47 PM,,0,Verify the message box with format field,,Zephyr for Jira - Test Management,557058:d99b15ce-fb96-40a1-b6e7-3ffdc632dc73,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzn,,,,,EL Sprint 1,,,,,,,,Done
Linkedin profile url field is accepting any value,EL-117,10207,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,21/Feb/22 11:18 AM,21/Feb/22 11:20 AM,21/Feb/22 11:20 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-5,EL-94,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zzr,,,,,EL Sprint 1,,,,,,,,To Do
Skype field is accepting any value,EL-116,10206,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,21/Feb/22 11:18 AM,21/Feb/22 11:19 AM,21/Feb/22 11:19 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-5,EL-97,EL-98,EL-99,,,,,,,,,,,,,{},,,,0|hzzzzo:zzj,,,,,EL Sprint 1,,,,,,,,To Do
email field is not editable,EL-115,10205,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,21/Feb/22 10:39 AM,21/Feb/22 11:15 AM,21/Feb/22 11:15 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-46,EL-5,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zs,,,,,EL Sprint 1,,,,,,,,To Do
Image field contains image name with special characters,EL-114,10204,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,21/Feb/22 10:38 AM,21/Feb/22 11:08 AM,21/Feb/22 11:08 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-5,EL-32,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zu,,,,,EL Sprint 1,,,,,,,,To Do
No record is shown in phone number field,EL-113,10203,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,21/Feb/22 10:37 AM,21/Feb/22 11:08 AM,21/Feb/22 11:07 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-5,EL-52,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zw,,,,,EL Sprint 1,,,,,,,,To Do
Email field should have * sign as it is mandatory,EL-112,10202,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,21/Feb/22 10:36 AM,21/Feb/22 11:13 AM,21/Feb/22 11:08 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-48,EL-5,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zt,,,,,EL Sprint 1,,,,,,,,To Do
Image size should be shown under the image name,EL-111,10201,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,21/Feb/22 10:35 AM,21/Feb/22 12:38 PM,21/Feb/22 1:53 PM,,,0,"Description: 

# navigate to Elearning application
# Go to Edit profile
# click on choose file in the add image field 
# verify if the image size is shown under the image name

Expected Result: 

Image size should be shown under the image name

Actual Result:

Image name is not shown under the image name",,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,,,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zz2,,,,,EL Sprint 1,,,,,,,,To Do
Phone number field is not editable,EL-110,10200,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,18/Feb/22 4:37 PM,21/Feb/22 11:04 AM,21/Feb/22 11:16 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-50,EL-5,EL-51,EL-55,EL-57,EL-53,EL-56,EL-54,,,,,,,,,{},,,,0|hzzzzo:zo,,,,,EL Sprint 1,,,,,,,,To Do
Password should not accept user full name,EL-109,10199,Bug,To Do,EL,elearning,software,Dipti Anand,620b3373156f53006b2459d7,,Medium,,,,Dipti Anand,620b3373156f53006b2459d7,Dipti Anand,620b3373156f53006b2459d7,18/Feb/22 4:34 PM,21/Feb/22 9:53 AM,21/Feb/22 11:16 AM,,,0,,,Dipti Anand,620b3373156f53006b2459d7,,,,,,,,,,EL-68,EL-5,,,,,,,,,,,,,,,{},,,,0|hzzzzo:zm,,,,,EL Sprint 1,,,,,,,,To Do
